grid_lat,grid_lon,count
16.830000000000002,112.32000000000001,1
16.830000000000002,112.33,2
18.19,109.60000000000001,2
18.2,109.48,1
18.21,109.48,1
18.21,109.49000000000001,1
18.21,109.61,1
18.22,109.5,2
18.22,109.51,3
18.22,109.52,5
18.23,109.5,6
18.23,109.51,2
18.23,109.52,2
18.23,109.63,2
18.23,109.64,3
18.240000000000002,109.49000000000001,7
18.240000000000002,109.5,3
18.240000000000002,109.52,1
18.240000000000002,109.55,1
18.240000000000002,109.61,5
18.240000000000002,109.62,8
18.240000000000002,109.63,2
18.25,109.49000000000001,3
18.25,109.5,4
18.25,109.51,5
18.25,109.56,1
18.25,109.62,1
18.26,109.48,2
18.26,109.49000000000001,3
18.26,109.5,1
18.26,109.51,4
18.26,109.52,4
18.26,109.53,2
18.26,109.56,3
18.26,109.57000000000001,1
18.27,109.47,1
18.27,109.48,3
18.27,109.49000000000001,2
18.27,109.5,5
18.27,109.51,4
18.27,109.52,4
18.27,109.55,4
18.27,109.57000000000001,2
18.27,109.60000000000001,1
18.28,109.43,1
18.28,109.44,1
18.28,109.45,1
18.28,109.48,3
18.28,109.49000000000001,5
18.28,109.5,4
18.28,109.51,6
18.28,109.54,1
18.28,109.55,3
18.28,109.56,2
18.28,109.57000000000001,4
18.28,109.58,2
18.28,109.67,1
18.29,109.35000000000001,1
18.29,109.36,3
18.29,109.37,2
18.29,109.38,3
18.29,109.39,1
18.29,109.41,3
18.29,109.42,4
18.29,109.44,2
18.29,109.46000000000001,1
18.29,109.47,1
18.29,109.48,8
18.29,109.49000000000001,5
18.29,109.5,4
18.29,109.51,6
18.29,109.52,3
18.29,109.53,5
18.29,109.54,1
18.29,109.59,2
18.29,109.60000000000001,1
18.3,109.15,1
18.3,109.32000000000001,2
18.3,109.36,1
18.3,109.37,2
18.3,109.4,1
18.3,109.41,1
18.3,109.42,2
18.3,109.43,8
18.3,109.44,3
18.3,109.48,1
18.3,109.52,2
18.3,109.55,2
18.3,109.60000000000001,1
18.3,109.68,3
18.3,109.69,1
18.3,109.71000000000001,3
18.31,109.2,2
18.31,109.23,1
18.31,109.41,1
18.31,109.42,4
18.31,109.44,4
18.31,109.48,3
18.31,109.49000000000001,2
18.31,109.51,1
18.31,109.52,2
18.31,109.59,1
