grid_lat,grid_lon,count
34.65,33.02,1
34.67,33.0,1
34.67,33.04,2
34.67,33.05,1
34.68,33.03,1
34.68,33.05,1
34.68,33.06,1
34.69,32.95,1
34.69,32.96,1
34.69,33.04,1
34.69,33.07,2
34.7,33.03,1
34.7,33.05,1
34.7,33.12,1
34.7,33.13,1
34.71,32.480000000000004,1
34.71,33.15,1
34.71,33.160000000000004,2
34.71,33.17,1
34.76,32.410000000000004,1
34.77,32.42,1
34.77,32.44,1
34.77,32.45,1
34.78,32.44,1
34.81,33.36,1
34.82,32.38,1
34.83,32.47,1
34.84,32.8,1
34.87,33.6,1
34.89,32.32,1
34.89,32.86,1
34.89,33.63,1
34.9,33.63,1
34.910000000000004,33.01,1
34.910000000000004,33.63,2
34.92,33.6,1
34.92,33.61,1
34.93,33.59,1
34.93,33.63,1
34.94,33.58,1
34.980000000000004,34.0,1
34.99,33.410000000000004,1
35.0,33.39,1
35.01,34.04,1
35.02,33.42,1
35.03,32.42,1
35.04,32.37,1
35.04,33.230000000000004,1
35.04,33.980000000000004,1
35.06,33.38,1
35.06,33.53,1
35.09,33.37,2
35.1,33.36,1
35.1,33.37,1
35.12,33.32,3
35.12,33.33,1
35.12,33.36,3
35.12,33.37,3
35.13,33.28,1
35.13,33.37,3
35.14,33.21,1
35.14,33.31,2
35.14,33.32,1
35.14,33.34,1
35.14,33.35,1
35.14,33.38,1
35.14,33.410000000000004,1
35.15,33.33,1
35.15,33.37,1
35.15,33.39,1
35.160000000000004,33.31,1
35.160000000000004,33.35,1
35.160000000000004,33.36,2
35.980000000000004,14.32,1
36.01,-5.61,2
36.02,14.24,1
36.03,14.26,1
36.03,14.290000000000001,1
36.04,14.24,1
36.06,-5.68,1
36.06,27.98,1
36.09,-5.8100000000000005,1
36.11,-5.47,1
36.12,-5.84,1
36.13,-5.46,1
36.13,-5.45,2
36.14,-5.46,2
36.14,-5.45,1
36.15,-5.46,1
36.15,-5.36,1
36.160000000000004,-5.47,1
36.160000000000004,-5.3500000000000005,1
36.18,-5.5,1
36.18,-5.44,1
36.19,-5.92,1
36.2,-5.93,1
36.22,27.6,1
36.22,28.13,1
36.230000000000004,-5.36,1
36.24,-5.33,1
36.24,28.16,1
36.28,-6.11,2
36.28,-6.1000000000000005,2
36.28,-6.09,2
36.28,-5.32,1
36.33,-6.16,1
36.33,-5.82,1
36.34,-6.17,1
36.34,-6.1000000000000005,1
36.35,-6.18,1
36.35,-6.11,1
36.35,28.04,1
36.36,-6.17,1
36.36,-5.23,1
36.36,25.43,1
36.36,28.19,2
36.36,28.21,1
36.37,25.48,1
36.38,25.43,1
36.39,-6.15,1
36.39,-5.21,1
36.39,28.2,1
36.39,28.23,1
36.4,-6.17,2
36.4,-5.2,1
36.410000000000004,-6.16,2
36.410000000000004,28.16,1
36.410000000000004,28.2,1
36.42,-6.15,1
36.42,-5.15,1
36.42,28.19,1
36.42,28.22,1
36.43,-5.15,1
36.43,-5.13,1
36.43,28.23,1
36.44,-5.28,1
36.44,28.22,1
36.45,-5.07,1
36.45,-5.0600000000000005,1
36.46,-5.05,1
36.47,-6.21,1
36.47,-5.0600000000000005,2
36.480000000000004,-5.05,1
36.480000000000004,-4.96,3
36.480000000000004,-4.72,1
36.49,-6.28,1
36.49,-6.2700000000000005,1
36.49,-5.0200000000000005,1
36.49,-5.0,4
36.49,-4.96,1
