grid_lat,grid_lon,count
18.0,-66.39,1
18.23,-65.91,1
18.330000000000002,-66.07000000000001,1
18.34,-65.9,1
18.38,-65.76,1
18.400000000000002,-66.06,1
18.42,-66.1,1
18.42,-66.07000000000001,2
18.42,-66.06,1
18.44,-66.07000000000001,1
19.06,-155.59,1
19.490000000000002,-154.95000000000002,1
19.5,-154.96,3
19.6,-155.97,1
19.62,-155.04,2
19.63,-155.99,2
19.64,-156.01,4
19.64,-156.0,2
19.64,-155.99,1
19.650000000000002,-156.01,3
19.67,-156.02,1
19.68,-156.02,1
19.69,-155.07,1
19.7,-155.09,4
19.7,-155.08,2
19.7,-155.07,5
19.7,-155.06,2
19.71,-155.12,1
19.71,-155.08,1
19.71,-155.05,1
19.71,-155.04,1
19.72,-156.04,1
19.72,-155.06,1
19.73,-156.05,1
19.82,-156.0,1
19.91,-155.89000000000001,2
19.92,-155.79,1
19.990000000000002,-155.83,1
20.0,-155.83,1
20.02,-155.67000000000002,1
20.23,-155.8,1
20.67,-156.45000000000002,1
20.68,-156.45000000000002,1
20.72,-156.45000000000002,7
20.73,-156.46,1
20.740000000000002,-156.9,1
20.740000000000002,-156.46,1
20.740000000000002,-156.45000000000002,1
20.740000000000002,-156.44,1
20.75,-156.45000000000002,1
20.82,-156.34,1
20.830000000000002,-156.92000000000002,1
20.830000000000002,-156.35,1
20.86,-156.5,1
20.87,-156.51,1
20.87,-156.47,1
20.87,-156.46,6
20.88,-156.51,1
20.88,-156.5,1
20.88,-156.49,2
20.88,-156.48,2
20.88,-156.46,7
20.89,-156.48,5
20.89,-156.47,1
20.91,-156.70000000000002,1
20.91,-156.33,1
20.92,-156.70000000000002,2
20.92,-156.33,1
20.93,-156.70000000000002,2
20.94,-156.70000000000002,1
20.97,-156.68,1
20.98,-156.67000000000002,1
21.09,-157.03,1
21.26,-157.83,1
21.27,-157.84,5
21.27,-157.83,14
21.27,-157.82,5
21.27,-157.81,1
21.27,-157.79,2
21.27,-157.78,2
21.27,-157.76,1
21.27,-157.71,1
21.28,-157.85,1
21.28,-157.84,3
21.28,-157.83,2
21.28,-157.81,3
21.28,-157.72,1
21.29,-157.87,3
21.29,-157.86,3
21.29,-157.85,17
21.29,-157.84,3
21.29,-157.82,2
21.29,-157.72,1
21.3,-158.05,3
21.3,-157.87,11
21.3,-157.86,11
21.3,-157.85,1
